ID,Building,Address,Latitude,Longitude
79,BC104,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
80,BC110,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
81,BC122,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
82,BC202,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
83,BC203,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
84,BC204,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
85,BC210,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
86,BC219,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
87,BC220,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
88,BC221,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
89,BC304,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
90,BC310,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
91,BC319,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
92,BC320,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
93,BC321,"Babbio Centre, 525 River Street ,Hoboken, NJ 07030",40.742954,-74.026701
